2021-11-11 21:31:02,627 p=25093 u=rob n=ansible | PLAY [prepare node and Lab] ***************************************************************************************************************************************************************************
2021-11-11 21:31:02,642 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : fail] **********************************************************************************************************************************************************************
2021-11-11 21:31:02,659 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:02,667 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:02,673 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:02,675 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:02,678 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:02,680 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : fail] **********************************************************************************************************************************************************************
2021-11-11 21:31:02,695 p=25093 u=rob n=ansible | skipping: [eveng]
2021-11-11 21:31:02,701 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:02,709 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:02,710 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:02,715 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:02,718 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : Login to EVE-NG and get Cookie] ********************************************************************************************************************************************
2021-11-11 21:31:02,746 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:02,753 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:02,753 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:02,758 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:03,922 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:03,928 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : get template facts] ********************************************************************************************************************************************************
2021-11-11 21:31:03,957 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
2021-11-11 21:31:03,964 p=25093 u=rob n=ansible | skipping: [PE1]
2021-11-11 21:31:03,965 p=25093 u=rob n=ansible | skipping: [PE2]
2021-11-11 21:31:03,969 p=25093 u=rob n=ansible | skipping: [PE3]
2021-11-11 21:31:04,471 p=25093 u=rob n=ansible | ok: [eveng]
2021-11-11 21:31:04,475 p=25093 u=rob n=ansible | TASK [eve-ng-create-node : Register path status] ******************************************************************************************************************************************************
2021-11-11 21:31:04,499 p=25093 u=rob n=ansible | skipping: [vyos-oobm]
